ticker,company_name,filing_date,signal,confidence,reason,event_type,urgency
CIPLA,Cipla Limited,2026-03-28 00:00:00,neutral,0.5,The filing is a routine corporate action with no significant financial impact.,other,low
NTPC,NTPC Limited,2026-03-28 00:00:00,bullish,0.7,Investment in Battery Energy Storage System indicates a positive outlook for NTPC's renewable energy initiatives.,acquisition,medium
GRASIM,Grasim Industries Limited,2026-03-28 00:00:00,neutral,0.5,Postal ballot results do not typically have a significant impact on stock price.,other,low
BHARTIARTL,Bharti Airtel Limited,2026-03-28 00:00:00,neutral,0.5,No specific information is provided about the action taken or orders passed by Bharti Airtel Limited.,other,low
TATASTEEL,Tata Steel Limited,2026-03-28 00:00:00,bearish,0.7,"Tata Steel Limited has informed about pendency of litigation, which may negatively impact the company's financials.",regulatory,high
SUNPHARMA,Sun Pharmaceutical Industries Limited,2026-03-28 00:00:00,neutral,0.5,General updates on Fibromun and Nidlegy do not typically have a significant impact on stock price.,other,low
COALINDIA,Coal India Limited,2026-03-28 00:00:00,neutral,0.5,Change in Director(s) is a neutral event with no clear impact on the company's financials.,management_change,low
COALINDIA,Coal India Limited,2026-03-28 00:00:00,bullish,0.7,Receipt of a Letter of Award from Telangana Power Generation Corporation Limited is a positive development for Coal India Limited.,acquisition,medium
HDFCBANK,HDFC Bank Limited,2026-03-28 00:00:00,neutral,0.5,No significant information was disclosed in the filing.,other,low
GRASIM,Grasim Industries Limited,2026-03-28 00:00:00,neutral,0.5,Shareholders meeting is a routine event and does not typically have a significant impact on stock price.,shareholders_meeting,low
ONGC,Oil & Natural Gas Corporation Limited,2026-03-28 00:00:00,neutral,0.5,Cessation of a non-executive director is a neutral event with moderate impact.,management_change,low
BPCL,Bharat Petroleum Corporation Limited,2026-03-28 00:00:00,neutral,0.5,No significant information was disclosed in the filing.,other,low
NTPC,NTPC Limited,2026-03-28 00:00:00,neutral,0.6,The company's announcement of COD of a stepdown subsidiary is a neutral event with moderate impact.,other,low
NTPC,NTPC Limited,2026-03-28 00:00:00,neutral,0.5,Acquisition announcement may have a neutral impact on the stock price as it depends on the terms and conditions of the deal.,acquisition,medium
ONGC,Oil & Natural Gas Corporation Limited,2026-03-28 00:00:00,neutral,0.5,Cessation of a non-executive director is a neutral event with moderate impact.,management_change,low
ONGC,Oil & Natural Gas Corporation Limited,2026-03-28 00:00:00,neutral,0.5,Cessation of a non-executive director is a neutral event with moderate impact.,management_change,low
BPCL,Bharat Petroleum Corporation Limited,2026-03-28 00:00:00,neutral,0.5,Change in Director(s) is a neutral event with no clear impact on the company's financials.,management_change,low
INDIGO,InterGlobe Aviation Limited,2026-03-27 00:00:00,neutral,0.5,Trading window closure is a routine event and does not necessarily indicate any significant company news.,regulatory,low
LT,Larsen & Toubro Limited,2026-03-27 00:00:00,neutral,0.5,Larsen & Toubro Limited has informed the Exchange about a routine business activity.,other,low
COALINDIA,Coal India Limited,2026-03-27 00:00:00,neutral,0.5,"The company is forming a joint venture, which may have a neutral impact on the stock price.",acquisition,medium
SUNPHARMA,Sun Pharmaceutical Industries Limited,2026-03-27 00:00:00,neutral,0.5,"The company announced research advancements in Alopecia Areata, Psoriasis, and Acne, but no significant financial or operational updates.",other,low
POWERGRID,Power Grid Corporation of India Limited,2026-03-27 00:00:00,neutral,0.5,"The company has successfully commissioned a project, but the filing does not provide specific financial or operational details.",other,low
SBIN,State Bank of India,2026-03-27 00:00:00,neutral,0.8,Trading window closure is a routine event and does not directly impact the company's financial performance.,regulatory,low
BEL,Bharat Electronics Limited,2026-03-27 00:00:00,neutral,0.5,Trading window closure does not directly impact stock price but may indicate upcoming events.,regulatory,low
SBIN,State Bank of India,2026-03-27 00:00:00,neutral,0.5,Shareholders meeting is a routine event and does not typically impact stock price significantly.,other,low
BPCL,Bharat Petroleum Corporation Limited,2026-03-27 00:00:00,neutral,0.5,"The company has informed about a shareholders meeting, which is a routine corporate event.",management_change,low
JSWSTEEL,JSW Steel Limited,2026-03-27 00:00:00,neutral,0.6,The company's announcement of a 50:50 JV with JFE Steel Corporation is a neutral event with moderate impact on the stock price.,acquisition,medium
BAJAJ-AUTO,Bajaj Auto Limited,2026-03-27 00:00:00,neutral,0.5,"Trading window closure does not directly impact stock price, but may indicate upcoming events.",regulatory,low
KOTAKBANK,Kotak Mahindra Bank Limited,2026-03-27 00:00:00,neutral,0.5,"The filing is a routine rumour verification, which does not provide any significant information about the company's performance or future prospects.",other,low
KOTAKBANK,Kotak Mahindra Bank Limited,2026-03-27 00:00:00,bearish,0.8,"The company is facing an alleged Rs 160-crore FD fraud, which may negatively impact investor sentiment.",regulatory,high
TCS,Tata Consultancy Services Limited,2026-03-27 00:00:00,neutral,0.5,No significant financial information was disclosed in the filing.,other,low
BRITANNIA,Britannia Industries Limited,2026-03-27 00:00:00,neutral,0.5,"Change in management is a neutral event, but may impact company's sales strategy.",management_change,low
MARUTI,Maruti Suzuki India Limited,2026-03-27 00:00:00,neutral,0.5,"Trading window closure does not directly impact stock price, but may indicate upcoming events.",regulatory,low
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2026-03-27 00:00:00,bullish,0.8,Positive media release about maritime safety initiatives.,other,medium
BRITANNIA,Britannia Industries Limited,2026-03-27 00:00:00,neutral,0.5,"Trading window closure does not directly impact stock price, but may indicate upcoming events.",regulatory,low
JSWSTEEL,JSW Steel Limited,2026-03-27 00:00:00,neutral,0.8,"Trading window closure indicates no insider information is being used for trading, but may impact investor sentiment.",regulatory,low
EICHERMOT,Eicher Motors Limited,2026-03-27 00:00:00,neutral,0.5,"The filing is a press release announcing a new product launch, which is a neutral event.",other,low
GODREJCP,Godrej Consumer Products Limited,2026-03-27 00:00:00,neutral,0.5,Trading window closure is a routine event with no direct impact on the company's financials.,regulatory,low
HDFCBANK,HDFC Bank Limited,2026-03-27 00:00:00,neutral,0.5,Shareholders meeting is a routine event and does not typically impact stock price significantly.,other,low
INDIGO,InterGlobe Aviation Limited,2026-03-26 00:00:00,neutral,0.5,No specific information is provided about the actions taken or orders passed by InterGlobe Aviation Limited.,other,low
