ticker,final_score,filing_signal,anomaly_type,top_reason,score_breakdown
RELIANCE,0.6053,bullish,price_move,"Reliance Industries signed a landmark green ammonia agreement with Samsung C&T, indicating a significant expansion in its renewable energy business.",filing=+0.80*0.65; urgency=0.30*0.10; anomaly=0.22*0.25
ADANIENT,0.5838,bullish,"price_move, oversold",The acquisition of IANS India Private Limited is expected to enhance Adani Enterprises' media and communications capabilities.,filing=+0.80*0.65; urgency=0.15*0.10; anomaly=0.20*0.25
JSWSTEEL,0.55,bullish,,The acquisition of a significant equity stake in Minas de Revuboe Limitada indicates a strategic expansion for JSW Steel Limited.,filing=+0.80*0.65; urgency=0.30*0.10; anomaly=0.00*0.25
BAJAJFINSV,0.55,bullish,,Acquisition of 26% equity stake by Bajaj Finserv in its insurance subsidiaries is a positive development.,filing=+0.80*0.65; urgency=0.30*0.10; anomaly=0.00*0.25
ADANIPORTS,0.535,bullish,,Positive media release about maritime safety initiatives.,filing=+0.80*0.65; urgency=0.15*0.10; anomaly=0.00*0.25
WIPRO,0.535,bullish,,Wipro's expansion in South Korea indicates growth opportunities,filing=+0.80*0.65; urgency=0.15*0.10; anomaly=0.00*0.25
NESTLEIND,0.535,bullish,,Capacity addition suggests increased production capacity and potential revenue growth,filing=+0.80*0.65; urgency=0.15*0.10; anomaly=0.00*0.25
BEL,0.5075,bullish,oversold,"The company has received new orders, indicating potential revenue growth.",filing=+0.70*0.65; urgency=0.15*0.10; anomaly=0.15*0.25
COALINDIA,0.47,bullish,,Receipt of a Letter of Award from Telangana Power Generation Corporation Limited is a positive development for Coal India Limited.,filing=+0.70*0.65; urgency=0.15*0.10; anomaly=0.00*0.25
NTPC,0.47,bullish,,Investment in Battery Energy Storage System indicates a positive outlook for NTPC's renewable energy initiatives.,filing=+0.70*0.65; urgency=0.15*0.10; anomaly=0.00*0.25
SBICARD,0.1015,neutral,"volume_spike, price_move",Trading window closure is a routine event and does not typically impact stock price.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.41*0.25
ONGC,0.0895,neutral,"volume_spike, price_move",Cessation of a non-executive director is a neutral event with moderate impact.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.36*0.25
BPCL,0.0808,neutral,"volume_spike, oversold",No significant information was disclosed in the filing.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.32*0.25
YESBANK,0.0765,neutral,volume_spike,General updates do not typically have a significant impact on stock price,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.31*0.25
SHRIRAMFIN,0.0685,neutral,price_move,"The company received approval for a proposed investment, which is a neutral event.",filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.27*0.25
UPL,0.0662,neutral,price_move,"The company is holding an extraordinary general meeting, which may lead to changes in the company's strategy or operations.",filing=+0.00*0.65; urgency=0.15*0.10; anomaly=0.20*0.25
BHARTIARTL,0.0655,neutral,volume_spike,Trading window closure is a routine event and does not necessarily indicate significant company activity.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.26*0.25
HCLTECH,0.064,neutral,volume_spike,"Trading window closure does not directly impact stock price, but may indicate upcoming events.",filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.26*0.25
GRASIM,0.0568,neutral,volume_spike,Trading window closure is a routine event and does not necessarily indicate any significant company activity.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.23*0.25
SBIN,0.0462,neutral,"price_move, oversold",Trading window closure is a routine event and does not directly impact the company's financial performance.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.18*0.25
HDFCBANK,0.0462,neutral,"price_move, oversold",No significant information was disclosed in the filing.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.18*0.25
MARUTI,0.0442,neutral,oversold,Capacity addition is a neutral event with moderate impact on the company's operations.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.18*0.25
INDIGO,0.042,neutral,price_move,Appointment of a new Chief Strategy Officer may have a neutral impact on the company's stock price.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.17*0.25
BRITANNIA,0.0305,neutral,oversold,Appointment of new CEO and MD is a neutral event as it does not directly impact short-term financials.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.12*0.25
HINDUNILVR,0.015,neutral,,"Trading window closure indicates no insider information, but may impact trading activity.",filing=+0.00*0.65; urgency=0.15*0.10; anomaly=0.00*0.25
EICHERMOT,0.015,neutral,,Appointment of new management does not necessarily impact company's financial performance,filing=+0.00*0.65; urgency=0.15*0.10; anomaly=0.00*0.25
TCS,0.0138,neutral,oversold,No significant financial information was disclosed in the filing.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.06*0.25
TATAMOTORS,0.0,,,No reason available.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
ULTRACEMCO,0.0,neutral,,"The company has informed about settlement proceedings, which is a neutral event.",filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
ITC,0.0,neutral,,The dissolution of a step-down subsidiary is a non-material event with limited impact on the company's financials.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
LT,0.0,neutral,,Larsen & Toubro Limited has informed the Exchange about a routine business activity.,filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
ICICIBANK,0.0,neutral,,"The company has informed the exchange about ESOP/ESOS/ESPS allotment, which is a neutral event.",filing=+0.00*0.65; urgency=0.00*0.10; anomaly=0.00*0.25
